Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
2009,Not Adj,Not Prelim,Dec,458000,415500,42600,9.3
2008,Not Adj,Not Prelim,Annual,457200,433100,24100,5.3
2008,Not Adj,Not Prelim,Jan,450500,430000,20500,4.5
2008,Not Adj,Not Prelim,Feb,450200,430900,19300,4.3
2008,Not Adj,Not Prelim,Mar,451900,431300,20600,4.6
2008,Not Adj,Not Prelim,Apr,451800,432500,19200,4.3
2008,Not Adj,Not Prelim,May,452900,431700,21300,4.7
2008,Not Adj,Not Prelim,Jun,456500,432400,24100,5.3
2008,Not Adj,Not Prelim,Jul,463200,437200,26000,5.6
2008,Not Adj,Not Prelim,Aug,461600,434500,27100,5.9
2008,Not Adj,Not Prelim,Sep,460200,434500,25700,5.6
2008,Not Adj,Not Prelim,Oct,463000,436100,26900,5.8
2008,Not Adj,Not Prelim,Nov,461900,433700,28200,6.1
2008,Not Adj,Not Prelim,Dec,462800,432500,30300,6.5
2007,Not Adj,Not Prelim,Annual,433200,415000,18200,4.2
2007,Not Adj,Not Prelim,Jan,428900,410100,18800,4.4
2007,Not Adj,Not Prelim,Feb,430700,413000,17700,4.1
2007,Not Adj,Not Prelim,Mar,431000,413100,17900,4.2
2007,Not Adj,Not Prelim,Apr,426600,409700,16900,4
2007,Not Adj,Not Prelim,May,427800,411500,16300,3.8
2007,Not Adj,Not Prelim,Jun,430900,412200,18700,4.3
2007,Not Adj,Not Prelim,Jul,437100,417200,19900,4.5
2007,Not Adj,Not Prelim,Aug,434800,415400,19400,4.5
2007,Not Adj,Not Prelim,Sep,436100,417800,18300,4.2
2007,Not Adj,Not Prelim,Oct,437100,419100,18000,4.1
2007,Not Adj,Not Prelim,Nov,439100,420900,18200,4.1
2007,Not Adj,Not Prelim,Dec,438400,420100,18300,4.2
2006,Not Adj,Not Prelim,Annual,416400,399000,17500,4.2
2006,Not Adj,Not Prelim,Jan,411900,393000,18900,4.6
2006,Not Adj,Not Prelim,Feb,413400,394300,19100,4.6
2006,Not Adj,Not Prelim,Mar,413500,395200,18400,4.4
2006,Not Adj,Not Prelim,Apr,412100,395400,16700,4.1
2006,Not Adj,Not Prelim,May,411200,395100,16100,3.9
2006,Not Adj,Not Prelim,Jun,413400,395400,17900,4.3
2006,Not Adj,Not Prelim,Jul,417600,398600,19000,4.5
2006,Not Adj,Not Prelim,Aug,417900,399700,18300,4.4
